RegionID,Date,RegionName,State,SizeRank,Zhvi,MoM,QoQ,YoY,5Year,10Year,PeakMonth,PeakQuarter,PeakZHVI,PctFallFromPeak,LastTimeAtCurrZHVI
394715,6/30/2019,"Jacksonville, IL",IL,623,84900,0.001179245,-0.001176471,0.011918951,0.014252861,0.015216069,2018-12,2018-Q4,85700,-0.009334889,2018-10
753916,6/30/2019,"Sandpoint, ID",ID,624,317900,0.003789075,0.005376344,0.180029696,0.080157207,0.030151415,2019-06,2019-Q2,317900,0,2019-06
394316,6/30/2019,"Alice, TX",TX,625,89900,-0.003325942,-0.02494577,-0.042598509,0.039975362,0.027110397,2017-10,2017-Q4,95300,-0.056663169,2017-03
394449,6/30/2019,"Celina, OH",OH,626,154200,0.00325309,-0.001295337,0.039083558,0.015906881,0.040472394,2019-01,2019-Q1,156600,-0.01532567,2018-11
394627,6/30/2019,"Garden City, KS",KS,627,151800,0,-0.002628121,0.054166667,0.061376753,0.041999185,2019-04,2019-Q2,152200,-0.002628121,2019-04
394833,6/30/2019,"Marshalltown, IA",IA,628,103300,0.003887269,0,0.036108325,0.030712329,0.015240035,2019-02,2019-Q1,103600,-0.002895753,2019-01
395219,6/30/2019,"West Plains, MO",MO,629,120300,-0.003314002,-0.004139073,0.039757995,0.051922514,0.025085295,2019-04,2019-Q2,121000,-0.005785124,2019-02
753877,6/30/2019,"Cullowhee, NC",NC,630,198600,0.00353714,-0.012431626,0.070619946,0.037890932,0.014719943,2007-05,2007-Q2,208400,-0.047024952,2006-08
394574,6/30/2019,"Espa?la, NM",NM,631,175600,-0.00509915,-0.002272727,0.026900585,0.029828869,,2010-03,2010-Q1,190500,-0.078215223,
395026,6/30/2019,"Riverton, WY",WY,632,218600,-0.00861678,-0.021923937,-0.005006827,0.029963167,0.023375623,2019-03,2019-Q1,223500,-0.021923937,2018-06
395158,6/30/2019,"Tifton, GA",GA,633,136300,0.001469508,-0.004382761,0.125516102,0.051173171,0.019466489,2019-02,2019-Q1,137500,-0.008727273,2019-01
394434,6/30/2019,"Cambridge, OH",OH,634,99100,0.003036437,0.003036437,0.067887931,0.035346526,0.026625077,2019-01,2019-Q1,99500,-0.004020101,2019-01
394934,6/30/2019,"Okeechobee, FL",FL,635,139800,0.00286944,0.013043478,0.147783251,0.090144993,0.022784877,2006-07,2006-Q3,174100,-0.197013211,2005-08
394845,6/30/2019,"McMinnville, TN",TN,636,105700,0.012452107,0.025218235,0.118518519,0.078022123,0.039284882,2019-06,2019-Q2,105700,0,2019-06
395082,6/30/2019,"Selinsgrove, PA",PA,637,151800,-0.000658328,-0.000658328,0.020847344,0.029127548,0.017677644,2008-06,2008-Q2,158100,-0.039848197,2008-03
394904,6/30/2019,"Natchitoches, LA",LA,638,133700,0,0.004507889,0.054416404,0.06782731,0.039566826,2019-06,2019-Q2,133700,0,2019-06
394383,6/30/2019,"Berlin, NH",NH,639,120400,0.002497918,0.000831255,0.094545455,0.043954213,0.01772516,2007-04,2007-Q2,125300,-0.039106145,2006-03
394799,6/30/2019,"Lock Haven, PA",PA,640,140900,-0.001417434,-0.004943503,0.036791759,0.037697617,0.030732634,2019-02,2019-Q1,141800,-0.006346968,2018-11
394354,6/30/2019,"Austin, MN",MN,641,108900,0.012081784,0.03125,0.11122449,0.059938568,0.019926876,2019-06,2019-Q2,108900,0,2019-06
394476,6/30/2019,"Clewiston, FL",FL,642,121500,0.000823723,-0.002463054,0.070484581,0.072056805,0.016458514,2006-11,2006-Q4,173800,-0.300920598,2005-06
394981,6/30/2019,"Pittsburg, KS",KS,643,76300,-0.012936611,-0.028025478,0.015978695,0.026030813,0.012931791,2004-11,2004-Q4,83700,-0.088410992,2002-03
394526,6/30/2019,"Defiance, OH",OH,644,111300,0.003606853,0.00180018,0.078488372,0.046676054,,2019-01,2019-Q1,111900,-0.00536193,2019-01
395072,6/30/2019,"Scottsbluff, NE",NE,645,125700,-0.000794913,-0.002380952,0.038842975,0.048702551,0.029596289,2019-01,2019-Q1,127800,-0.016431925,2018-11
394801,6/30/2019,"Logansport, IN",IN,646,90100,-0.003318584,-0.007709251,0.141951838,0.10781236,0.040631437,2019-02,2019-Q1,91400,-0.014223195,2019-01
394992,6/30/2019,"Pontiac, IL",IL,647,94600,0.005313496,0.018299247,0.059350504,0.039077691,0.003887333,2019-06,2019-Q2,94600,0,2019-06
394663,6/30/2019,"Hannibal, MO",MO,648,130800,0.004608295,0.012383901,0.113191489,0.075969824,0.04258158,2019-06,2019-Q2,130800,0,2019-06
394888,6/30/2019,"Mount Vernon, IL",IL,649,57300,0.010582011,0.010582011,0.063079777,-0.040069348,0.012113205,2013-08,2013-Q3,74500,-0.230872483,2012-06
395176,6/30/2019,"Union City, TN",TN,650,69100,-0.001445087,-0.012857143,0.008759124,0.03002166,0.01354751,2019-01,2019-Q1,71000,-0.026760563,2018-08
